time,price_usd
2025-11-26T03:31:19.797Z,4127.88
2025-11-26T03:31:23.935Z,4127.88
2025-11-26T03:31:28.959Z,4127.88
2025-11-26T03:31:34.451Z,4127.88
2025-11-26T03:31:39.606Z,4127.88
2025-11-26T03:31:44.036Z,4127.88
2025-11-26T03:31:48.999Z,4127.88
2025-11-26T03:31:54.019Z,4127.88
2025-11-26T03:31:59.028Z,4127.88
2025-11-26T03:32:04.042Z,4127.88
2025-11-26T03:32:09.062Z,4127.88
2025-11-26T03:32:14.055Z,4127.88
2025-11-26T03:32:19.063Z,4127.88
2025-11-26T03:32:24.200Z,4127.88
2025-11-26T03:32:29.076Z,4127.88
2025-11-26T03:32:34.072Z,4127.88
2025-11-26T03:32:39.070Z,4127.88
2025-11-26T03:32:44.083Z,4127.88
2025-11-26T03:32:49.084Z,4127.88
2025-11-26T03:32:54.105Z,4127.88
2025-11-26T03:32:59.106Z,4127.88
2025-11-26T03:33:04.102Z,4127.88
2025-11-26T03:33:09.190Z,4127.88
2025-11-26T03:36:33.570Z,4127.88
2025-11-26T03:36:37.863Z,4127.88
2025-11-26T03:36:42.870Z,4127.88
2025-11-26T03:36:48.357Z,4127.88
2025-11-26T03:36:52.892Z,4127.88
2025-11-26T03:36:57.904Z,4127.88
2025-11-26T03:37:02.919Z,4127.88
2025-11-26T03:37:08.076Z,4127.88
2025-11-26T03:37:12.943Z,4127.88
2025-11-26T03:37:18.290Z,4127.88
2025-11-26T03:37:23.314Z,4127.88
2025-11-26T03:37:27.973Z,4127.88
2025-11-26T03:37:32.967Z,4127.88
2025-11-26T03:37:37.981Z,4127.88
2025-11-26T03:37:42.987Z,4127.88
2025-11-26T03:37:48.000Z,4127.88
2025-11-26T03:37:53.004Z,4127.88
2025-11-26T03:37:58.014Z,4127.88
2025-11-26T03:38:03.014Z,4127.88
2025-11-26T03:38:08.013Z,4127.88
2025-11-26T03:38:13.375Z,4127.88
2025-11-26T03:38:18.034Z,4127.88
2025-11-26T03:38:23.038Z,4127.88
